rank,client_canonical,lead_score,confidence,account_fit,signal_strength,solution_match,relationship_warmth,relationship_type,rank_2019,nwp_2019,combined_ratio,exl_client,exl_growth_leader,exl_ce,num_triggers_fired,unique_trigger_types,sum_trigger_strength,recommended_solutions
11,Great Amer P&C Ins Group,49.9,Medium,0.65,0.136,1.0,0.5,Named,26.0,4689656000.0,93.7,,Sean,Sean,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
12,Marsh,48.4,Medium,0.5,0.136,1.0,0.8,Named,32.0,65202584.0,,,Mohit,Wayne Reed,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
13,AXIS US Operations,46.8,Medium,0.5,0.12,1.0,0.7,Named,48.0,1932319000.0,107.3,Yes,Sean,Sean,1,1,0.5,EXL Paymentor (1); EXL Digital Finance Suite (1); EXL XTRAKTO.AI (1); EXL NerveHub (1)
14,American Family,44.2,Medium,0.3,0.256,1.0,0.5,Named,,,105.7,,Sean,Sean,2,2,1.1,EXL XTRAKTO.AI (2); EXL NerveHub (2); EXL Paymentor (1); EXL Digital Finance Suite (1)
15,Axis,44.2,Medium,0.3,0.256,1.0,0.5,Named,,,107.3,,Sean,Sean,2,2,1.1,EXL XTRAKTO.AI (2); EXL NerveHub (2); EXL Paymentor (1); EXL Digital Finance Suite (1)
16,QBE,42.4,Medium,0.4,0.136,1.0,0.5,Strategic,,,90.0,,Vilas,Vilas,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
17,Aviva,42.4,Medium,0.4,0.136,1.0,0.5,Strategic,,,97.5,,Nick ,Nick ,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
18,MAPFRE,42.4,Medium,0.4,0.136,1.0,0.5,Named,51.0,1863845000.0,97.6,,Mohit,Mohit,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
19,Suncorp,42.4,Medium,0.4,0.136,1.0,0.5,Strategic,,,0.96,,Vilas,Vilas,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
20,IAG,42.4,Medium,0.4,0.136,1.0,0.5,Strategic,,,1.23,,Vilas,Vilas,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
21,AON,41.5,Medium,0.3,0.445,0.333,0.8,Named,,,,,Mohit,Wayne Reed,3,3,2.03,EXL XTRAKTO.AI (1); EXL NerveHub (1)
22,American Modern,40.9,Medium,0.35,0.136,1.0,0.5,Named,,2500000000.0,,,Sean,Sean,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
23,Farmers,39.4,Low,0.3,0.136,1.0,0.5,Named,,,,,Sean,Sean,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
24,Munich Re,39.4,Low,0.3,0.136,1.0,0.5,Named,,,1.01,,Mohit,Mohit,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
25,Great American,39.4,Low,0.3,0.136,1.0,0.5,Named,,,93.7,,Sean,Sean,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
26,Esure Insurance Holdings,37.4,Low,0.3,0.136,1.0,0.3,Named,,,,,Mohit ,,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
27,CNA,32.5,Low,0.85,0.0,0.0,0.7,Strategic,20.0,6953530000.0,94.8,Yes,Saju,Roopak,0,0,0.0,
28,USAA,32.5,Low,0.85,0.0,0.0,0.7,Named,7.0,22981339000.0,82.8,Yes,Sean,Sean,0,0,0.0,
29,Everest,31.0,Low,0.8,0.0,0.0,0.7,Named,22.0,5797634000.0,88.7,Yes,Sean,Sean,0,0,0.0,
30,Kemper,26.5,Low,0.65,0.0,0.0,0.7,Named,30.0,4042228000.0,93.0,Yes,Roopak,Amit Gaba,0,0,0.0,
